"Name","Source","Size","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Awakened Rat","WDH","Tiny","unaligned","10","1 (1d4 - 1)","20 ft.","2","11","9","10","10","4","","","","","","","darkvision 30 ft., passive Perception 10","Common","0 (0 or 10 XP)"," Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell."," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","",""
"Awakened White Moose","IDRotF","Large","neutral evil","11 (natural armor)","68 (8d10 + 24)","40 ft.","19","11","16","10","12","6","","","","","","","passive Perception 11","Druidic","3 (700 XP)"," Charge. If the moose moves at least 20 feet straight toward a target and then hits it with an antlers attack on the same turn, the target takes an extra 9 (2d8) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone. Sure-Footed. The moose has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Multiattack. The moose makes two attacks: one with its antlers and one with its hooves. Antlers. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage. Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (2d4 + 4) bludgeoning damage.","","","","","","",""
"Axe Beak","MM","Large","unaligned","11","19 (3d10 + 3)","50 ft.","14","12","12","2","10","5","","","","","","","passive Perception 10","—","1/4 (50 XP)",""," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.","","","","","","","Grassland, Hill"
"Baboon","MM","Small","unaligned","12","3 (1d6)","30 ft., climb 30 ft.","8","14","11","4","12","6","","","","","","","passive Perception 11","—","0 (0 or 10 XP)"," Pack Tactics. The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.","","","","","","","Forest, Hill"
"Badger","MM","Tiny","unaligned","10","3 (1d4 + 1)","20 ft., burrow 5 ft.","4","11","12","2","12","5","","","","","","","darkvision 30 ft., passive Perception 11","—","0 (0 or 10 XP)"," Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell."," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","","Forest"
"Bat","MM","Tiny","unaligned","12","1 (1d4 - 1)","5 ft., fly 30 ft.","2","15","8","2","12","4","","","","","","","blindsight 60 ft., passive Perception 11","—","0 (0 or 10 XP)"," Echolocation. The bat can't use its blindsight while deafened. Keen Hearing. The bat has advantage on Wisdom (Perception) checks that rely on hearing."," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.","","","","","","",""
"Beast of the Land","TCE","Medium","unaligned","13 + PB (natural armor)","5 + five times your ranger level (the beast has a number of Hit Dice [d8s] equal to your ranger level)","40 ft., climb 40 ft.","14","14","15","8","14","11","","","","","","","darkvision 60 ft., passive Perception 12","understands the languages you speak",""," Charge. If the beast moves at least 20 feet straight toward a target and then hits it with a maul attack on the same turn, the target takes an extra 1d6 slashing damage. If the target is a creature, it must succeed on a Strength saving throw against your spell save DC or be knocked prone. Primal Bond. You can add your proficiency bonus to any ability check or saving throw that the beast makes."," Maul. Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d8 + 2 + PB slashing damage.","","","","","","",""
"Beast of the Sea","TCE","Medium","unaligned","13 + PB (natural armor)","5 + five times your ranger level (the beast has a number of Hit Dice [d8s] equal to your ranger level)","5 ft., swim 60 ft.","14","14","15","8","14","11","","","","","","","darkvision 60 ft., passive Perception 12","understands the languages you speak",""," Amphibious. The beast can breathe both air and water. Primal Bond. You can add your proficiency bonus to any ability check or saving throw that the beast makes."," Binding Strike. Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d6 + 2 + PB piercing damage or 1d6 + 2 + PB bludgeoning damage (your choice), and the target is grappled (escape DC equal to your spellcasting save DC). Until this grapple ends, the beast can't use this attack on another target.","","","","","","",""
"Beast of the Sky","TCE","Small","neutral","13 + PB (natural armor)","4 + four times your ranger level (the beast has a number of Hit Dice [d6s] equal to your ranger level)","10 ft., fly 60 ft.","6","16","13","8","14","11","","","","","","","darkvision 60 ft., passive Perception 12","understands the languages you speak",""," Flyby. The beast doesn't provoke opportunity attacks when it flies out of an enemy's reach. Primal Bond. You can add your proficiency bonus to any ability check or saving throw that the beast makes."," Shred. Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d4 + 3 + PB slashing damage","","","","","","",""
"Bestial Spirit","TCE","Small","unaligned","11 + the level of the spell (natural armor)","20 (Air only) or 30 (Land and Water only) + 5 for each spell level above 2nd","30 ft., climb 30 ft. (land only), fly 60 ft. (air only), swim 30 ft. (water only)","18","11","16","4","14","5","","","","","","","darkvision 60 ft., passive Perception 12","understands the languages you speak",""," Flyby (Air Only). The beast doesn't provoke opportunity attacks when it flies out of an enemy's reach. Pack Tactics (Land and Water Only). The beast has advantage on an attack roll against a creature if at least one of the beast's allies is within 5 feet of the creature and the ally isn't incapacitated. Water Breathing (Water Only). The beast can breathe only underwater."," Multiattack. The beast makes a number of attacks equal to half this spell's level (rounded down). Maul. Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d8 + 4 + the spell's level piercing damage.","","","","","","",""
"Black Bear","MM","Medium","unaligned","11 (natural armor)","19 (3d8 + 6)","40 ft., climb 30 ft.","15","10","14","2","12","7","","Perception +3","","","","","passive Perception 13","—","1/2 (100 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.","","","","","","","Forest"
"Blood Hawk","MM","Small","unaligned","12","7 (2d6)","10 ft., fly 60 ft.","6","14","10","3","14","5","","Perception +4","","","","","passive Perception 14","—","1/8 (25 XP)"," Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight. Pack Tactics. The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and the ally isn't incapacitated."," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","Arctic, Coastal, Forest, Grassland, Hill, Mountain"
"Boar","MM","Medium","unaligned","11 (natural armor)","11 (2d8 + 2)","40 ft.","13","11","12","2","9","5","","","","","","","passive Perception 9","—","1/4 (50 XP)"," Charge. If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. Relentless (Recharges after a Short or Long Rest). If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead."," Tusk. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage.","","","","","","","Forest, Grassland, Hill"
"Bristled Moorbounder","EGW","Large","unaligned","15 (natural armor)","52 (7d10 + 14)","70 ft.","18","14","14","2","13","5","","","","","","","darkvision 60 ft., passive Perception 11","—","3 (700 XP)"," Bladed Hide. At the start of each of its turns, the moorbounder deals 5 (2d4) piercing damage to any creature grappling it. Standing Leap. The moorbounder's long jump is up to 40 feet and its high jump is up to 20 feet, with or without a running start."," Multiattack. The moorbounder makes two attacks: one with its blades and one with its claws. Blades. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage. Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 14 (4d4 + 4) slashing damage.","","","","","","",""
"Brontosaurus","MPMM","Gargantuan","unaligned","15 (natural armor)","121 (9d20 + 27)","30 ft.","21","9","17","2","10","7","Con +6","","","","","","passive Perception 10","—","5 (1,800 XP)",""," Stomp. Melee Weapon Attack: +8 to hit, reach 20 ft., one target. Hit: 27 (5d8 + 5) bludgeoning damage, and the target must succeed on a DC 14 Strength saving throw or be knocked prone. Tail. Melee Weapon Attack: +8 to hit, reach 20 ft., one target. Hit: 32 (6d8 + 5) bludgeoning damage","","","","","","","Forest, Grassland"
"Brown Bear","MM","Large","unaligned","11 (natural armor)","34 (4d10 + 12)","40 ft., climb 30 ft.","19","10","16","2","13","7","","Perception +3","","","","","passive Perception 13","—","1 (200 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage. Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","","","","","","","Arctic, Forest, Hill"
"Camel","MM","Large","unaligned","9","15 (2d10 + 4)","50 ft.","16","8","14","2","8","5","","","","","","","passive Perception 9","—","1/8 (25 XP)",""," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.","","","","","","","Desert"
"Cat","MM","Tiny","unaligned","12","2 (1d4)","40 ft., climb 30 ft.","3","15","10","3","12","7","","Perception +3, Stealth +4","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Keen Smell. The cat has advantage on Wisdom (Perception) checks that rely on smell."," Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","","","","","","Desert, Forest, Grassland, Urban"
"Cave Badger","OotA","Medium","unaligned","12 (natural armor)","13 (2d8 + 4)","30 ft., burrow 15 ft.","13","10","15","2","12","5","","","","","","","darkvision 30 ft., tremorsense 60 ft., passive Perception 11","—","1/4 (50 XP)"," Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell. Tunneler. When the badger burrows, it leaves tunnels behind."," Multiattack. The badger makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.","","","","","","",""
"Cave Bear","MM","Large","unaligned","12 (natural armor)","42 (5d10 + 15)","40 ft., swim 30 ft.","20","10","16","2","13","7","","Perception +3","","","","","darkvision 60 ft., passive Perception 13","—","2 (450 XP)"," Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage. Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.","","","","","","","Forest, Underdark"
"Chimeric Baboon","IDRotF","Small","unaligned","12","3 (1d6)","30 ft., climb 30 ft.","8","14","11","4","12","6","","","","","","","passive Perception 11","—","0 (0 or 10 XP)"," Pack Tactics. The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage, plus an extra 3 (1d6) poison damage.","","","","","","",""
"Chimeric Cat","IDRotF","Tiny","unaligned","12","2 (1d4)","40 ft., climb 30 ft.","3","15","10","3","12","7","","Perception +3, Stealth +4","","","","","blindsight 60 ft., tremorsense 60 ft., passive Perception 13","—","0 (0 or 10 XP)"," Keen Smell. The cat has advantage on Wisdom (Perception) checks that rely on smell."," Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","","","","","",""
"Chimeric Fox","IDRotF","Tiny","unaligned","13","2 (1d4)","30 ft., burrow 5 ft.","2","16","11","3","12","6","","Perception +3, Stealth +5","","","","","darkvision 60 ft., passive Perception 13","—","0 (0 or 10 XP)"," Chimeric Creation. The fox has fur that changes color to match its surroundings, giving it advantage on Dexterity (Stealth) checks. Keen Hearing. The fox has advantage on Wisdom (Perception) checks that rely on hearing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.","","","","","","",""
"Chimeric Hare","IDRotF","Tiny","unaligned","13","1 (1d4 - 1)","20 ft., burrow 5 ft., fly 30 ft.","1","17","9","2","11","4","","Perception +2, Stealth +5","","","","","passive Perception 12","—","0 (0 or 10 XP)"," Escape. The hare can take the Dash, Disengage, or Hide action as a bonus action on each of its turns.","","","","","","","",""
"Chimeric Rat","IDRotF","Tiny","unaligned","10","1 (1d4 - 1)","20 ft.","2","11","9","2","10","4","","","","","","","darkvision 30 ft., passive Perception 10","—","0 (0 or 10 XP)"," Chimeric Creation. The rat has gills, iridescent scales, and the ability to breathe air and water. Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell."," Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","",""
"Chimeric Weasel","IDRotF","Tiny","unaligned","13","1 (1d4 - 1)","30 ft.","3","16","8","2","12","3","","Perception +3, Stealth +5","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Chimeric Creation. The weasel has glowing eyes that emit bright light out in a 20-foot radius and dim light for an additional 20 feet. Keen Hearing and Smell. The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","",""
"Clawfoot","ERLW","Medium","unaligned","13","19 (3d8 + 6)","40 ft.","12","16","14","4","12","10","","Perception +3, Stealth +5","","","","","passive Perception 13","—","1 (200 XP)"," Pack Tactics. The clawfoot has advantage on an attack roll against a creature if at least one of the clawfoot's allies is within 5 feet of the creature and the ally isn't incapacitated. Pounce. If the clawfoot moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 11 Strength saving throw or be knocked prone. If the target is prone, the clawfoot can make one bite attack against it as a bonus action."," Multiattack. The clawfoot makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage. Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.","","","","","","",""
"Constrictor Snake","MM","Large","unaligned","12","13 (2d10 + 2)","30 ft., swim 30 ft.","15","14","12","1","10","3","","","","","","","blindsight 10 ft., passive Perception 10","—","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage. Constrict. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) bludgeoning damage, and the target is grappled (escape DC 14). Until this grapple ends, the creature is restrained, and the snake can't constrict another target.","","","","","","","Desert, Forest, Swamp, Underwater"
"Cow","VGM","Large","unaligned","10","15 (2d10 + 4)","30 ft.","18","10","14","2","10","4","","","","","","","passive Perception 10","—","1/4 (50 XP)"," Charge. If the cow moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage."," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage.","","","","","","","Grassland"
"Crab","MM","Tiny","unaligned","11 (natural armor)","2 (1d4)","20 ft., swim 20 ft.","2","11","10","1","8","2","","Stealth +2","","","","","blindsight 30 ft., passive Perception 9","—","0 (0 or 10 XP)"," Amphibious. The crab can breathe air and water."," Claw. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.","","","","","","","Coastal"
"Crocodile","MM","Large","unaligned","12 (natural armor)","19 (3d10 + 3)","20 ft., swim 30 ft.","15","10","13","2","10","5","","Stealth +2","","","","","passive Perception 10","—","1/2 (100 XP)"," Hold Breath. The crocodile can hold its breath for 15 minutes."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can't bite another target","","","","","","","Swamp, Urban"
"Crow","WDMM","Tiny","unaligned","12","1 (1d4 - 1)","10 ft., fly 50 ft.","2","14","8","2","12","6","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Mimicry. The crow can mimic simple sounds it has heard, such as a person whispering, a baby crying, or an animal chittering. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check."," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage.","","","","","","",""
"Deep Rothé","MPMM","Medium","unaligned","10","13 (2d8 + 4)","30 ft.","18","10","14","2","10","4","","","","","","","darkvision 60 ft., passive Perception 10","—","1/4 (50 XP)"," Beast of Burden. The rothé is considered to be one size larger for the purpose of determining its carrying capacity."," Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. If the rothé moved at least 20 feet straight toward the target immediately before the hit, the target takes an extra 7 (2d6) piercing damage. Dancing Lights. The rothé casts dancing lights, requiring no spell components and using Wisdom as the spellcasting ability.","","","","","","","Underdark"
"Deer","MM","Medium","unaligned","13","4 (1d8)","50 ft.","11","16","11","2","14","5","","","","","","","passive Perception 12","—","0 (0 or 10 XP)",""," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.","","","","","","","Forest, Grassland"
"Deinonychus","MPMM","Medium","unaligned","13 (natural armor)","26 (4d8 + 8)","40 ft.","15","15","14","4","12","6","","Perception +3","","","","","passive Perception 13","—","1 (200 XP)"," Pounce. If the deinonychus moves at least 20 feet straight toward a creature and then hits it with a Claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the deinonychus can make one Bite attack against it as a bonus action."," Multiattack. The deinonychus makes one Bite attack and two Claw attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.","","","","","","","Forest, Grassland, Hill"
"Diatryma","WDH","Large","unaligned","11","19 (3d10 + 3)","50 ft.","14","12","12","2","10","5","","","","","","","passive Perception 10","—","1/4 (50 XP)",""," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.","","","","","","",""
"Dimetrodon","MPMM","Medium","unaligned","12 (natural armor)","19 (3d8 + 6)","30 ft., swim 20 ft.","14","10","15","2","10","5","","Perception +2","","","","","passive Perception 12","—","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.","","","","","","","Coastal, Swamp"
"Dire Wolf","MM","Large","unaligned","14 (natural armor)","37 (5d10 + 10)","50 ft.","17","15","15","3","12","7","","Perception +3, Stealth +4","","","","","passive Perception 13","—","1 (200 XP)"," Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","","","","","","","Forest, Hill"
"Dolphin","MPMM","Medium","unaligned","12 (natural armor)","11 (2d8 + 2)","0 ft., swim 60 ft.","14","13","13","6","12","7","","Perception +3","","","","","blindsight 60 ft., passive Perception 13","—","1/8 (25 XP)"," Hold Breath. The dolphin can hold its breath for 20 minutes."," Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage. If the dolphin moved at least 30 feet straight toward the target immediately before the hit, the target takes an extra 3 (1d6) bludgeoning damage.","","","","","","","Coastal, Underwater"
"Draft Horse","MM","Large","unaligned","10","19 (3d10 + 3)","40 ft.","18","10","12","2","11","7","","","","","","","passive Perception 10","—","1/4 (50 XP)",""," Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (2d4 + 4) bludgeoning damage.","","","","","","","Urban"
"Eagle","MM","Small","unaligned","12","3 (1d6)","10 ft., fly 60 ft.","6","15","10","2","14","7","","Perception +4","","","","","passive Perception 14","—","0 (0 or 10 XP)"," Keen Sight. The eagle has advantage on Wisdom (Perception) checks that rely on sight."," Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.","","","","","","","Coastal, Grassland, Hill, Mountain"
"Elder Giant Lizard","TftYP","Huge","unaligned","14 (natural armor)","85 (9d12 + 27)","30 ft., climb 30 ft.","21","9","17","2","10","7","","Stealth +5","","","","","darkvision 60 ft., passive Perception 10","—","5 (1,800 XP)"," Hold Breath. The lizard can hold its breath for 30 minutes."," Multiattack. The lizard makes two attacks: one with its bite and one with its tail. Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 21 (3d10 + 5) piercing damage, and the target is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the lizard can't bite another target. Tail. Melee Weapon Attack: +8 to hit, reach 10 ft., one target not grappled by the lizard. Hit: 14 (2d8 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 16 Strength saving throw or be knocked prone.","","","","","","",""
