Deity,Alignment,Domains,Symbol
"Boldrei, goddess of community and home",LG,Life,Fire in stone hearth
"Dol Arrah, goddess of sunlight and honor",LG,"Light, War",Rising sun
"Dol Dorn, god of strength at arms",CG,War,Longsword crossed over a shield
"Kol Korran, god of trade and wealth",Neutral,Trickery,Nine-sided gold coin
"Olladra, goddess of good fortune",NG,"Life, Trickery",Domino
"Onatar, god of craft",NG,Knowledge,Crossed hammer and tongs
"The Devourer, god of nature's wrath",NE,Tempest,Bundle of five sharpened bones
"The Fury, goddess of wrath and madness",NE,War,Winged wyrm wilh woman's head and upper body
"The Keeper, god of greed and death",NE,Death,Dragonshard stone in the shape of a fang
"The Mockery, god of violence and treachery",NE,War,Five blood-spattered tools
"The Shadow, god of dark magic",CE,Knowledge,Obsidian tower
"The Traveler, deity of chaos and change",CN,"Knowledge, Trickery","Four crossed, rune-inscribed bones"
"Avandra, deity of Change and freedom and luck",CG,"Nature, Trickery",Woman's profile embossed on a gold coin or pendant
"Bahamut, deity of Honor and justice",NG,"Life, Order, War",Silver dragon's head in profile
"Corellon, deity of Art and beauty and elves",CG,"Arcana, Light",Two crescent moons facing each other atop a four-pointed star
"Erathis, deity of Civilization and law and peace",LN,"Knowledge, Order",Double-headed axe inset with a pattern of scales
"Ioun, deity of Knowledge and learning and teaching",N,"Arcana, Knowledge",Pair of open eyes crowned with a third open eye
"Kord, deity of Battle and competition and storms",CN,"Tempest, War",Four bolts of lightning radiating from the center of a shield
"Melora, deity of Seas and wilderness",N,"Life, Nature, Tempest",Wreath of grass and grain affixed to a crook
"Moradin, deity of Craft and creation",LG,"Forge, Knowledge, War",Hammer with ends carved in the likeness of dwarven heads
"Pelor, deity of Healing and sun",NG,"Life, Light, Nature","Bright, eight-pointed star"
"Raei, deity of Atonement and compassion",NG,"Life, Light","Humanoid, feminine phoenix"
"The Raven Queen, deity of Death and fate and winter",LN,"Death, Grave","White, humanoid mask framed in black feathers"
"Sehanine, deity of Illusion and moonlight and night",CG,"Arcana, Nature, Trickery","Crescent moon turned upward, strung like a bow"
"Asmodeus, deity of God of the Nine Hells",LE,"Trickery, War",Crown of spiked onyx and curved horns
"Bane, deity of Conquest and tyranny",LE,"Forge, Order, War","Flail of chains, each ending in shackles"
"Gruumush, deity of Slaughter and warfare",CE,"Death, Tempest, War","Single, unblinking eye that bleeds"
"Lolth, deity of Deceit and spiders",CE,"Knowledge, Trickery",Jeweled spider
"Tharizdun, deity of Darkness and Destruction",CE,"Death, Grave, Trickery","Crooked, seven-pointed star made of chains"
"Tiamat, deity of Dragon god of evil",LE,"Order, Trickery, War",Taloned dragon claw
"Torog, deity of Enslavement and torture",NE,"Death, Trickery",Three pale arms clawing from a dark void
"Vecna, deity of Necromancy and secrets",NE,"Arcana, Death, Grave, Knowledge",Desiccated hand with an eye in the palm
"Zehir, deity of Assassins and poison and snakes",CE,"Nature, Trickery",Coiled serpent
"Arms of the Betrayers, deity of The Fiend and The Hexblade",NE,"Death, War",Blade thrust downward through an eight-eyed skull
"Ceratos, deity of The Great Old One",CN,"Knowledge, Tempest",Three mismatched eyes surrounded by teeth
"Desirat, deity of The Fiend and The Undying",LE,"Light, Trickery",Burning purple feather
"Naviask, deity of The Archfey",NG,"Life, Nature",Wreath of flowers shaped into demon horns
"Quajath, deity of The Fiend and The Great Old One",CN,"Nature, War",Ring of teeth
"The Hag Mother, deity of The Fiend",NE,"Knowledge, Trickery",Single red horn
"The Luxon, deity of –",N,"Arcana, Light",Hollow dodecahedron
"The Traveler, deity of The Archfey",CN,"Nature, Trickery",Arched doorway over a road that vanishes into the distance
"Uk'otoa, deity of The Great Old One and The Hexblade",NE,"Knowledge, Tempest","Yellow, slitted eye"
"Vesh, deity of The Archfey and The Undying",NE,"Death, Life",Crimson ring hanging from a chain
"Xalicas, deity of The Archfey and The Celestial",LG,"Life, Light",Single blackened wing
"Athreos, god of passage",LE,"Death, Grave",Crescent moon
"Ephara, god of the polis",LN,"Knowledge, Light",Urn pouring water
"Erebos, god of the dead",NE,"Death, Trickery",Serene face
"Heliod, god of the sun",LG,Light,Laurel crown
"Iroas, god of victory",CG,War,Four-winged helmet
"Karametra, god of harvests",NG,"Life, Nature",Cornucopia
"Keranos, god of storms",CN,"Knowledge, Tempest",Blue eye
"Klothys, god of destiny",N,"Knowledge, War",Drop spindle
"Kruphix, god of horizons",N,"Knowledge, Trickery",Eight-pointed star
"Mogis, god of slaughter",NE,War,Four-horned bull's head
"Nylea, god of the hunt",NG,Nature,Four arrows
"Pharika, god of affliction",NE,"Death, Knowledge, Life",Snakes
"Phenax, god of deception",CN,Trickery,Winged golden mask
"Purphoros, god of the forge",CN,"Forge, Knowledge",Double crest
"Thassa, god of the sea",N,"Knowledge, Tempest",Waves
